zone,quantity,buy.status,sell.status,buy.limit.id,sell.limit.id
54000,10,-,-,-,-
53700,10,none,none,none,none
53400,10,none,none,none,none
53100,10,none,none,none,none
52800,10,none,none,none,none
52500,10,none,none,none,none
52200,10,none,none,none,none
51900,10,none,none,none,none
51600,10,none,none,none,none
51300,10,none,none,none,none
51000,10,none,none,none,none
50700,10,none,none,none,none
50400,10,none,none,none,none
50100,10,none,none,none,none
49800,10,none,none,none,none
49500,10,none,none,none,none
49200,10,none,none,none,none
48900,10,none,none,none,none
48600,10,none,none,none,none
48300,10,none,none,none,none
48000,10,none,none,none,none
47700,10,none,none,none,none
47400,10,none,none,none,none
47100,10,none,none,none,none
46800,10,none,none,none,none
46500,10,none,none,none,none
46200,10,none,none,none,none
